id,label,year,country_codes
https://openalex.org/W4376288633,Electric vehicles as a sustainable energy Technology: Observations from travel survey data and evaluation of adoption with Machine learning method,2023,
https://openalex.org/W4396671241,"Assessing the current landscape of AI and sustainability literature: identifying key trends, addressing gaps and challenges",2024,AT;FR;NL
https://openalex.org/W4388194208,Experimental validation of onboard electric vehicle chargers to improve the efficiency of smart charging operation,2023,DK;NO
https://openalex.org/W4408167865,Deep charge-fusion model: Advanced hybrid modelling for predicting electric vehicle charging patterns with socio-demographic considerations,2025,GB;TR
https://openalex.org/W4409866650,Advancing sustainable mobility in India with electric vehicles: market trends and machine learning insights,2025,IN
https://openalex.org/W4407852045,Evaluating the impact of sociodemographic factors on rideshare use in the U.S.,2025,US
https://openalex.org/W4399916106,How explain on-grid PV systems diffusion? Review and application in Brazil,2024,BR
https://openalex.org/W4402982960,A Sustainable Production Planning Scheme for New Energy Vehicles in China,2024,CN
