source,target,type
https://openalex.org/W4376288633,https://openalex.org/W4396671241,Directed
https://openalex.org/W4376288633,https://openalex.org/W4388194208,Directed
https://openalex.org/W4376288633,https://openalex.org/W4408167865,Directed
https://openalex.org/W4376288633,https://openalex.org/W4409866650,Directed
https://openalex.org/W4376288633,https://openalex.org/W4407852045,Directed
https://openalex.org/W4376288633,https://openalex.org/W4399916106,Directed
https://openalex.org/W4376288633,https://openalex.org/W4402982960,Directed
