citing_openalex_id,citing_title,citing_year,citing_doi,citing_venue,cited_by_count,country_codes
https://openalex.org/W4396671241,"Assessing the current landscape of AI and sustainability literature: identifying key trends, addressing gaps and challenges",2024,10.1186/s40537-024-00912-x,Journal Of Big Data,45,AT;FR;NL
https://openalex.org/W4388194208,Experimental validation of onboard electric vehicle chargers to improve the efficiency of smart charging operation,2023,10.1016/j.seta.2023.103512,Sustainable Energy Technologies and Assessments,34,DK;NO
https://openalex.org/W4408167865,Deep charge-fusion model: Advanced hybrid modelling for predicting electric vehicle charging patterns with socio-demographic considerations,2025,10.1016/j.ijtst.2025.03.002,International Journal of Transportation Science and Technology,7,GB;TR
https://openalex.org/W4409866650,Advancing sustainable mobility in India with electric vehicles: market trends and machine learning insights,2025,10.3389/fenrg.2025.1500515,Frontiers in Energy Research,3,IN
https://openalex.org/W4407852045,Evaluating the impact of sociodemographic factors on rideshare use in the U.S.,2025,10.1016/j.trip.2025.101359,Transportation Research Interdisciplinary Perspectives,2,US
https://openalex.org/W4399916106,How explain on-grid PV systems diffusion? Review and application in Brazil,2024,10.1016/j.renene.2024.120862,Renewable Energy,0,BR
https://openalex.org/W4402982960,A Sustainable Production Planning Scheme for New Energy Vehicles in China,2024,10.3390/su16198543,Sustainability,0,CN
